x:   3.92, y: -12.16, z:   -54.24
x: -12.68, y:  -1.36, z:  -290.09
x:  14.78, y:   6.67, z:  -222.77
x:   4.62, y:  11.43, z:    41.73
x:   3.05, y:  30.20, z:  1512.90
x:  -3.43, y: -16.62, z:  -259.84
x: -12.85, y:  -9.86, z:   642.86
x:  -7.86, y:   5.85, z:  -310.26
x:  14.39, y:  21.29, z:  -463.56
x: -15.02, y: -14.54, z:   691.70
x:  40.28, y: -10.30, z:  1681.16
x:   7.78, y:  13.70, z: -1089.63
x:  14.14, y: -12.62, z:     3.13
x:  12.55, y:  15.30, z:  -387.10
x:   3.84, y:  23.05, z:   201.19
x:  -0.47, y: -16.32, z:   571.49
x:   5.33, y:  -8.03, z:    78.64
x:  -9.53, y:   7.73, z:   -10.07
x:   3.68, y:   7.79, z:   -39.62
x:  16.37, y:   4.97, z:   154.09
x:   4.14, y: -21.37, z: -1266.76
x:   8.17, y:  -2.51, z:    82.85
x:  20.32, y:  14.12, z:  1545.93
x: -12.64, y: 113.38, z:   -20.37
x:  -8.11, y: -12.25, z:  -444.56
x:  -0.56, y:   4.98, z:   -48.13
x:  -8.84, y: -19.46, z:   457.45
x:  22.98, y:  -7.95, z:  -396.36
x:  20.94, y:  -2.73, z:   -56.32
x:  38.02, y:   8.75, z:    33.77
x:  11.66, y:  -8.15, z:   112.03
x:   8.76, y:  18.31, z:   441.94
x:  30.66, y:   3.00, z:  1566.64
x: -15.78, y:  -4.65, z:  -602.64
x: -10.92, y: -11.37, z:   876.80
x:  21.55, y:  11.28, z: -1473.51
x:  -9.48, y:   4.27, z:  -156.31
x:   8.74, y:   6.26, z:   395.00
x:  25.45, y:   4.71, z:   428.84
x:  10.42, y:  -3.53, z:    -2.89
x: -31.60, y: -11.96, z:  1033.14
x:  23.45, y:  -2.63, z:  1601.07
x:   6.30, y: -17.08, z:    11.62
x:  14.60, y:   0.70, z:  -275.07
x:  48.74, y:  -7.76, z:  -470.34
x:  24.14, y: -26.64, z:   606.02
